root_uid	language	topic_id
IC0015LS0	eng	E102
IC0015LVA	ukr	E102
IC0015NIQ	eng	E102
IC0015NIQ	ukr	E102
IC001659G	eng	E102
IC001659G	rus	E102
IC001659G	ukr	E102
IC0015LQN	eng	E102
IC0015LQN	rus	E102
IC0015LMY	eng	E102
IC001658X	eng	E102
IC001657N	eng	E102
IC0015LZK	eng	E102
IC0015LTF	eng	E102
IC0015M05	rus	E102
IC0015M1B	rus	E102
IC0015M1M	rus	E102
IC0015M2H	rus	E102
IC0015P9D	rus	E102
IC0015PA0	rus	E102
IC0015PAS	rus	E102
IC0015PCK	rus	E102
IC0015PCZ	rus	E102
IC0015PE7	rus	E102
IC0015PFH	rus	E102
IC0015PG0	rus	E102
IC0015PG0	ukr	E102
IC0015PHX	rus	E102
IC0015PIP	rus	E102
IC0015PW1	rus	E102
IC0015ZQB	rus	E102
IC0015ZWJ	rus	E102
IC0015ZXW	rus	E102
IC0015ZYX	rus	E102
IC001608E	rus	E102
IC00160Q7	rus	E102
IC00160QJ	rus	E102
IC00160R8	rus	E102
IC00160TL	rus	E102
IC00160TV	rus	E102
IC0016219	rus	E102
IC001622K	rus	E102
IC0016247	rus	E102
IC00164A3	rus	E102
IC0015PV3	rus	E102
IC0015YEU	rus	E102
IC00160V0	rus	E102
IC00169HO	ukr	E102
IC001L2EE	ukr	E102
IC001L3EN	ukr	E102
IC001L4EP	ukr	E102
IC001L4FS	ukr	E102
IC001L4H5	ukr	E102
IC00169HD	ukr	E102
IC001L4K0	ukr	E102
IC001L3OO	ukr	E102
IC001L3QQ	ukr	E102
IC001L4JT	ukr	E102
IC001L4L5	ukr	E102
IC0015SDO	eng	E101
IC0015SDV	eng	E101
IC0016368	eng	E101
IC0016445	eng	E101
IC001630M	eng	E101
IC001664M	eng	E101
IC00163VF	eng	E101
IC00163VF	rus	E101
IC00164QG	eng	E101
IC00164QG	rus	E101
IC0016351	eng	E101
IC00164D6	eng	E101
IC00164GC	eng	E101
IC00164Q9	eng	E101
IC0015MXG	eng	E101
IC0015MVH	eng	E101
IC0015MVH	rus	E101
IC0015XM9	eng	E101
IC0015YJY	eng	E101
IC0015YKZ	eng	E101
IC001L3VC	rus	E101
IC001L341	rus	E101
IC0015Z1K	rus	E101
IC0015P4P	rus	E101
IC0015Y3D	rus	E101
IC0015Y47	rus	E101
IC0015YAT	rus	E101
IC00160YF	rus	E101
IC0015OPQ	rus	E101
IC001612D	rus	E101
IC0015ZAG	rus	E101
IC0015P1E	rus	E101
IC001610X	rus	E101
IC00161RN	rus	E101
IC0015Z61	rus	E101
IC0015ZFR	rus	E101
IC0015OG0	rus	E101
IC001609R	rus	E101
IC0015P0A	rus	E101
IC0015WHR	rus	E101
IC0015P3U	rus	E101
IC0015OHR	rus	E101
IC0015OS3	rus	E101
IC0015OST	rus	E101
IC00160AZ	rus	E101
IC00160BK	rus	E101
IC0015P6B	rus	E101
IC0015Z40	rus	E101
IC0015ZFF	rus	E101
IC0015Y3K	rus	E101
IC0015Y8W	rus	E101
IC001L3EW	ukr	E101
IC001L2P5	ukr	E101
IC001L2DH	ukr	E101
IC001L3XW	ukr	E101
IC001L47V	ukr	E101
IC001L4KI	ukr	E101
IC001L2KX	ukr	E101
IC001L3FF	ukr	E101
IC001L2HW	ukr	E101
IC001L31A	ukr	E101
IC001L31K	ukr	E101
IC001L32C	ukr	E101
IC001L32L	ukr	E101
IC001L32V	ukr	E101
IC001L2BF	ukr	E101
IC001L3MS	ukr	E101
IC0015OL1	rus	E101
IC0015Z75	rus	E101
